Dataset name: LMR Seasonal
Dataset details: lmr_seasonal v.1_0_0 tas djf
Method(s): ['LMR_seasonal']
Lat/lon or region: 31 degN -90 degE
---
Original source URL: https://atmos.uw.edu/~zilumeng/LMR_Seasonal/index.html
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR_seasonal mean (degrees Celsius)
1812.00,-0.06
1813.00,0.22
1814.00,-0.11
1815.00,-0.08
1816.00,-0.50
1817.00,-0.06
1818.00,-0.16
1819.00,-0.10
1820.00,-0.25
1821.00,0.13
1822.00,0.07
1823.00,0.10
1824.00,0.48
1825.00,-0.09
1826.00,0.29
1827.00,0.21
1828.00,-0.09
1829.00,-0.70
1830.00,-0.16
1831.00,-0.19
1832.00,0.23
1833.00,-0.91
1834.00,-0.62
1835.00,-0.16
1836.00,0.29
1837.00,-0.46
1838.00,-0.69
1839.00,-1.48
1840.00,-0.82
1841.00,-0.29
1842.00,0.19
1843.00,0.01
1844.00,0.30
1845.00,-0.11
1846.00,0.26
1847.00,0.35
1848.00,-0.37
1849.00,0.80
1850.00,0.68
1851.00,0.55
1852.00,-0.25
1853.00,0.75
1854.00,0.50
1855.00,-0.57
1856.00,0.32
1857.00,0.23
1858.00,0.25
1859.00,-0.24
1860.00,-0.04
1861.00,-0.57
1862.00,0.09
1863.00,0.10
1864.00,0.34
1865.00,-0.23
1866.00,-0.34
1867.00,-0.15
1868.00,0.04
1869.00,-0.10
1870.00,-0.01
1871.00,-0.13
1872.00,-0.18
1873.00,0.29
1874.00,-0.20
1875.00,0.24
1876.00,0.61
1877.00,-0.26
1878.00,-0.41
1879.00,-0.20
1880.00,0.60
1881.00,-0.27
1882.00,0.15
1883.00,0.40
1884.00,-0.24
1885.00,-0.81
1886.00,-1.28
1887.00,0.21
1888.00,-0.25
1889.00,-0.30
1890.00,0.34
1891.00,-0.10
1892.00,-0.32
1893.00,-0.50
1894.00,0.47
1895.00,-0.61
1896.00,-0.57
1897.00,-0.41
1898.00,0.10
1899.00,0.11
1900.00,-0.75
1901.00,-0.56
1902.00,-0.87
1903.00,-0.71
1904.00,0.03
1905.00,-0.77
1906.00,-0.60
1907.00,0.36
1908.00,-0.28
1909.00,0.41
1910.00,0.38
1911.00,-0.41
1912.00,-0.20
1913.00,0.10
1914.00,-1.13
1915.00,-0.41
1916.00,-0.18
1917.00,-0.04
1918.00,-0.80
1919.00,-0.38
1920.00,-0.65
1921.00,0.36
1922.00,-0.22
1923.00,0.10
1924.00,-0.58
1925.00,0.07
1926.00,-1.09
1927.00,-0.69
1928.00,-0.76
1929.00,-0.30
1930.00,-0.61
1931.00,-1.05
1932.00,0.39
1933.00,-0.00
1934.00,-0.06
1935.00,-0.64
1936.00,-0.60
1937.00,-0.53
1938.00,-0.52
1939.00,-0.03
1940.00,-1.19
1941.00,-0.95
1942.00,-1.54
1943.00,-0.39
1944.00,-1.14
1945.00,-1.71
1946.00,-0.62
1947.00,-0.90
1948.00,-0.21
1949.00,1.03
1950.00,-0.27
1951.00,-0.22
1952.00,0.49
1953.00,-0.67
1954.00,-0.21
1955.00,-0.38
1956.00,0.53
1957.00,-0.18
1958.00,-0.75
1959.00,-0.06
1960.00,-0.28
1961.00,-0.42
1962.00,0.63
1963.00,-0.55
1964.00,-0.48
1965.00,-0.37
1966.00,-0.30
1967.00,-0.36
1968.00,-0.17
1969.00,-1.25
1970.00,-0.15
1971.00,0.68
1972.00,1.37
1973.00,0.73
1974.00,1.44
1975.00,0.25
1976.00,0.28
1977.00,-0.51
1978.00,-0.28
1979.00,-0.26
1980.00,-0.25
1981.00,-0.24
1982.00,0.12
1983.00,0.03
1984.00,0.28
1985.00,0.17
1986.00,0.44
1987.00,0.40
1988.00,0.66
1989.00,1.16
1990.00,0.93
1991.00,0.88
1992.00,0.40
1993.00,1.07
1994.00,0.28
1995.00,0.11
1996.00,0.58
1997.00,0.19
1998.00,-0.32
1999.00,0.92
2000.00,0.92
