Dataset name: LMR
Dataset details: lmr v.2_1_0 tas annual
Method(s): ['LMR']
Lat/lon or region: 30.0 degN -90.0 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/27850
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR mean (degrees Celsius)
961.00,-0.00
962.00,-0.05
963.00,0.04
964.00,-0.13
965.00,-0.12
966.00,0.05
967.00,-0.09
968.00,0.03
969.00,-0.04
970.00,0.18
971.00,0.17
972.00,0.20
973.00,0.02
974.00,0.15
975.00,-0.00
976.00,-0.07
977.00,0.04
978.00,0.08
979.00,0.10
980.00,-0.06
981.00,-0.01
982.00,0.21
983.00,0.09
984.00,0.04
985.00,0.02
986.00,0.04
987.00,0.10
988.00,0.01
989.00,0.02
990.00,-0.15
991.00,0.06
992.00,-0.07
993.00,-0.03
994.00,-0.06
995.00,-0.05
996.00,-0.14
997.00,-0.12
998.00,-0.09
999.00,-0.09
1000.00,-0.03
1001.00,-0.13
1002.00,-0.12
1003.00,-0.18
1004.00,-0.04
1005.00,-0.15
1006.00,-0.14
1007.00,0.05
1008.00,0.08
1009.00,0.02
1010.00,0.14
1011.00,0.03
1012.00,-0.03
1013.00,-0.01
1014.00,0.01
1015.00,0.05
1016.00,-0.01
1017.00,0.06
1018.00,0.07
1019.00,0.21
1020.00,0.09
1021.00,-0.06
1022.00,-0.08
1023.00,0.01
1024.00,0.11
1025.00,0.13
1026.00,0.09
1027.00,-0.07
1028.00,0.15
1029.00,-0.08
1030.00,-0.03
1031.00,0.10
1032.00,-0.12
1033.00,0.24
1034.00,0.22
1035.00,0.28
1036.00,0.29
1037.00,0.02
1038.00,0.12
1039.00,0.05
1040.00,0.14
1041.00,0.26
1042.00,0.14
1043.00,-0.08
1044.00,0.36
1045.00,0.13
1046.00,0.25
1047.00,0.01
1048.00,0.30
1049.00,0.01
1050.00,0.37
1051.00,0.22
1052.00,0.27
1053.00,0.20
1054.00,0.06
1055.00,0.23
1056.00,-0.03
1057.00,0.06
1058.00,0.03
1059.00,0.21
1060.00,0.15
1061.00,0.29
1062.00,0.12
1063.00,-0.04
1064.00,0.23
1065.00,0.11
1066.00,0.17
1067.00,0.19
1068.00,0.20
1069.00,0.23
1070.00,0.25
1071.00,0.06
1072.00,0.12
1073.00,0.10
1074.00,0.05
1075.00,0.08
1076.00,0.02
1077.00,0.15
1078.00,-0.00
1079.00,0.03
1080.00,-0.03
1081.00,0.04
1082.00,-0.06
1083.00,-0.20
1084.00,0.10
1085.00,0.07
1086.00,0.12
1087.00,0.15
1088.00,0.14
1089.00,0.13
1090.00,-0.04
1091.00,0.02
1092.00,0.09
1093.00,-0.01
1094.00,0.11
1095.00,0.14
1096.00,-0.10
1097.00,0.04
1098.00,-0.18
1099.00,-0.05
1100.00,-0.04
1101.00,-0.02
1102.00,-0.02
1103.00,-0.16
1104.00,-0.27
1105.00,0.06
1106.00,-0.15
1107.00,-0.17
1108.00,-0.16
1109.00,-0.34
1110.00,-0.19
1111.00,-0.12
1112.00,-0.04
1113.00,-0.19
1114.00,-0.37
1115.00,-0.08
1116.00,-0.10
1117.00,-0.18
1118.00,-0.32
1119.00,-0.12
1120.00,-0.02
1121.00,-0.25
1122.00,0.04
1123.00,-0.10
1124.00,-0.04
1125.00,0.02
1126.00,-0.03
1127.00,-0.11
1128.00,0.02
1129.00,-0.09
1130.00,-0.13
1131.00,-0.06
1132.00,-0.14
1133.00,-0.18
1134.00,0.01
1135.00,0.03
1136.00,-0.07
1137.00,0.01
1138.00,-0.03
1139.00,0.09
1140.00,-0.00
1141.00,0.08
1142.00,-0.14
1143.00,-0.06
1144.00,-0.20
1145.00,-0.12
1146.00,-0.00
1147.00,0.03
1148.00,0.03
1149.00,0.06
1150.00,0.23
1151.00,-0.09
1152.00,0.20
1153.00,0.07
1154.00,-0.00
1155.00,0.06
1156.00,0.09
1157.00,0.18
1158.00,-0.11
1159.00,0.26
1160.00,0.25
1161.00,0.17
1162.00,0.32
1163.00,0.22
1164.00,0.17
1165.00,0.33
1166.00,0.21
1167.00,0.23
1168.00,0.29
1169.00,0.23
1170.00,0.22
1171.00,-0.05
1172.00,0.07
1173.00,0.20
1174.00,-0.00
1175.00,0.11
1176.00,0.09
1177.00,-0.03
1178.00,0.13
1179.00,0.04
1180.00,0.16
1181.00,0.08
1182.00,0.12
1183.00,0.14
1184.00,0.22
1185.00,-0.01
1186.00,0.04
1187.00,-0.01
1188.00,0.13
1189.00,0.09
1190.00,0.21
1191.00,0.03
1192.00,0.07
1193.00,0.24
1194.00,0.18
1195.00,0.22
1196.00,0.01
1197.00,0.03
1198.00,0.10
1199.00,0.11
1200.00,0.01
1201.00,-0.19
1202.00,0.06
1203.00,0.06
1204.00,-0.07
1205.00,-0.02
1206.00,-0.06
1207.00,-0.13
1208.00,-0.01
1209.00,-0.12
1210.00,-0.08
1211.00,0.01
1212.00,0.17
1213.00,-0.10
1214.00,0.07
1215.00,0.11
1216.00,0.01
1217.00,-0.01
1218.00,-0.03
1219.00,-0.05
1220.00,-0.02
1221.00,-0.11
1222.00,0.11
1223.00,0.13
1224.00,0.15
1225.00,0.03
1226.00,-0.05
1227.00,-0.13
1228.00,-0.05
1229.00,0.04
1230.00,-0.31
1231.00,0.06
1232.00,0.15
1233.00,-0.02
1234.00,0.02
1235.00,-0.02
1236.00,-0.09
1237.00,-0.18
1238.00,-0.04
1239.00,-0.02
1240.00,-0.02
1241.00,-0.10
1242.00,0.07
1243.00,0.08
1244.00,0.02
1245.00,0.08
1246.00,0.09
1247.00,0.15
1248.00,0.19
1249.00,0.25
1250.00,0.16
1251.00,0.03
1252.00,0.07
1253.00,0.10
1254.00,0.09
1255.00,0.22
1256.00,0.13
1257.00,0.24
1258.00,-0.01
1259.00,0.08
1260.00,0.20
1261.00,0.32
1262.00,0.18
1263.00,-0.04
1264.00,0.15
1265.00,0.10
1266.00,-0.11
1267.00,0.08
1268.00,0.06
1269.00,0.03
1270.00,0.08
1271.00,0.24
1272.00,0.17
1273.00,-0.02
1274.00,0.12
1275.00,0.17
1276.00,0.20
1277.00,0.22
1278.00,-0.08
1279.00,0.30
1280.00,0.07
1281.00,0.04
1282.00,0.15
1283.00,0.17
1284.00,-0.09
1285.00,0.07
1286.00,0.26
1287.00,0.00
1288.00,0.02
1289.00,-0.01
1290.00,-0.03
1291.00,0.09
1292.00,-0.02
1293.00,-0.09
1294.00,-0.14
1295.00,0.03
1296.00,0.04
1297.00,-0.15
